2026-05-15 22:15:28 | INFO     | crew:run_analysis_pipeline:26 - Starting analysis pipeline for: data\Blood_Donation.csv
2026-05-15 22:15:28 | DEBUG    | crew:run_analysis_pipeline:35 - Initializing agents...
2026-05-15 22:15:29 | DEBUG    | crew:run_analysis_pipeline:42 - Defining tasks...
2026-05-15 22:15:29 | INFO     | crew:run_analysis_pipeline:84 - Kicking off crew execution...
2026-05-15 22:50:45 | INFO     | crew:run_analysis_pipeline:27 - Starting analysis pipeline for: data\Blood_Donation.csv
2026-05-15 22:50:45 | DEBUG    | crew:run_analysis_pipeline:43 - Initializing agents...
2026-05-15 22:50:45 | DEBUG    | crew:run_analysis_pipeline:50 - Defining tasks...
2026-05-15 22:50:45 | INFO     | crew:run_analysis_pipeline:92 - Kicking off crew execution...
2026-05-15 22:50:47 | ERROR    | crew:run_analysis_pipeline:109 - Crew execution failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-12345***********************cdef. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}
2026-05-15 22:51:25 | INFO     | crew:run_analysis_pipeline:27 - Starting analysis pipeline for: data\Blood_Donation.csv
2026-05-15 22:51:25 | DEBUG    | crew:run_analysis_pipeline:43 - Initializing agents...
2026-05-15 22:51:25 | DEBUG    | crew:run_analysis_pipeline:50 - Defining tasks...
2026-05-15 22:51:25 | INFO     | crew:run_analysis_pipeline:92 - Kicking off crew execution...
2026-05-15 22:52:08 | ERROR    | tools.dataset_tools:_load_df:20 - Failed to load dataset blood_donation_dataset.csv: [Errno 2] No such file or directory: 'blood_donation_dataset.csv'
2026-05-15 22:52:13 | ERROR    | crew:run_analysis_pipeline:109 - Crew execution failed: litellm.RateLimitError: RateLimitError: GroqException - {"error":{"message":"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k2922p5de8w9d22bt50s8ag0` service tier `on_demand` on tokens per minute (TPM): Limit 12000, Used 11074, Requested 3073. Please try again in 10.735s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing","type":"tokens","code":"rate_limit_exceeded"}}

2026-05-15 22:58:41 | INFO     | crew:run_analysis_pipeline:27 - Starting analysis pipeline for: data\Blood_Donation.csv
2026-05-15 22:58:41 | DEBUG    | crew:run_analysis_pipeline:46 - Initializing agents...
2026-05-15 22:58:41 | DEBUG    | crew:run_analysis_pipeline:53 - Defining tasks...
2026-05-15 22:58:41 | INFO     | crew:run_analysis_pipeline:95 - Kicking off crew execution...
2026-05-15 22:58:44 | ERROR    | tools.dataset_tools:_load_df:27 - Failed to load dataset data\Blood_Donation.csv: name 'os' is not defined
2026-05-15 22:58:46 | ERROR    | tools.dataset_tools:_load_df:27 - Failed to load dataset data\Blood_Donation.csv: name 'os' is not defined
2026-05-15 22:58:49 | ERROR    | tools.dataset_tools:_load_df:27 - Failed to load dataset data\Blood_Donation.csv: name 'os' is not defined
2026-05-15 22:58:49 | ERROR    | crew:run_analysis_pipeline:112 - Crew execution failed: litellm.RateLimitError: RateLimitError: GroqException - {"error":{"message":"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k2922p5de8w9d22bt50s8ag0` service tier `on_demand` on tokens per minute (TPM): Limit 12000, Used 10593, Requested 1920. Please try again in 2.565s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing","type":"tokens","code":"rate_limit_exceeded"}}

